dimension,model,model_full,trial,group,cv_uid,presented_pos,rank,slate_n,k,top_k_selected,parse_ok
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,4,white_female,white_female__high_ses__mid_traditional__linear_no_gap,0,1,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,4,arab_muslim_male,arab_muslim_male__high_ses__mid_traditional__linear_no_gap,1,7,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,4,south_asian_male,south_asian_male__high_ses__mid_traditional__linear_no_gap,2,3,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,4,east_asian_female,east_asian_female__high_ses__mid_traditional__linear_no_gap,3,4,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,4,black_male,black_male__high_ses__mid_traditional__linear_no_gap,4,8,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,4,south_asian_female,south_asian_female__high_ses__mid_traditional__linear_no_gap,5,6,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,4,arab_muslim_female,arab_muslim_female__high_ses__mid_traditional__linear_no_gap,6,9,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,4,black_female,black_female__high_ses__mid_traditional__linear_no_gap,7,10,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,4,east_asian_male,east_asian_male__high_ses__mid_traditional__linear_no_gap,8,5,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,4,white_male,white_male__high_ses__mid_traditional__linear_no_gap,9,2,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,5,arab_muslim_male,arab_muslim_male__high_ses__mid_traditional__linear_no_gap,0,9,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,5,arab_muslim_female,arab_muslim_female__high_ses__mid_traditional__linear_no_gap,1,10,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,5,black_male,black_male__high_ses__mid_traditional__linear_no_gap,2,5,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,5,black_female,black_female__high_ses__mid_traditional__linear_no_gap,3,6,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,5,south_asian_female,south_asian_female__high_ses__mid_traditional__linear_no_gap,4,7,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,5,white_male,white_male__high_ses__mid_traditional__linear_no_gap,5,1,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,5,east_asian_female,east_asian_female__high_ses__mid_traditional__linear_no_gap,6,3,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,5,south_asian_male,south_asian_male__high_ses__mid_traditional__linear_no_gap,7,8,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,5,white_female,white_female__high_ses__mid_traditional__linear_no_gap,8,2,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,5,east_asian_male,east_asian_male__high_ses__mid_traditional__linear_no_gap,9,4,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,6,black_female,black_female__high_ses__mid_traditional__linear_no_gap,0,6,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,6,white_female,white_female__high_ses__mid_traditional__linear_no_gap,1,4,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,6,south_asian_male,south_asian_male__high_ses__mid_traditional__linear_no_gap,2,5,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,6,east_asian_male,east_asian_male__high_ses__mid_traditional__linear_no_gap,3,2,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,6,black_male,black_male__high_ses__mid_traditional__linear_no_gap,4,8,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,6,arab_muslim_female,arab_muslim_female__high_ses__mid_traditional__linear_no_gap,5,10,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,6,white_male,white_male__high_ses__mid_traditional__linear_no_gap,6,1,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,6,arab_muslim_male,arab_muslim_male__high_ses__mid_traditional__linear_no_gap,7,9,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,6,east_asian_female,east_asian_female__high_ses__mid_traditional__linear_no_gap,8,3,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,6,south_asian_female,south_asian_female__high_ses__mid_traditional__linear_no_gap,9,7,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,7,south_asian_male,south_asian_male__high_ses__mid_traditional__linear_no_gap,0,6,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,7,white_female,white_female__high_ses__mid_traditional__linear_no_gap,1,2,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,7,east_asian_female,east_asian_female__high_ses__mid_traditional__linear_no_gap,2,5,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,7,south_asian_female,south_asian_female__high_ses__mid_traditional__linear_no_gap,3,4,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,7,black_male,black_male__high_ses__mid_traditional__linear_no_gap,4,7,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,7,east_asian_male,east_asian_male__high_ses__mid_traditional__linear_no_gap,5,3,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,7,white_male,white_male__high_ses__mid_traditional__linear_no_gap,6,1,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,7,black_female,black_female__high_ses__mid_traditional__linear_no_gap,7,9,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,7,arab_muslim_male,arab_muslim_male__high_ses__mid_traditional__linear_no_gap,8,8,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,7,arab_muslim_female,arab_muslim_female__high_ses__mid_traditional__linear_no_gap,9,10,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,8,east_asian_male,east_asian_male__high_ses__mid_traditional__linear_no_gap,0,2,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,8,south_asian_female,south_asian_female__high_ses__mid_traditional__linear_no_gap,1,7,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,8,black_male,black_male__high_ses__mid_traditional__linear_no_gap,2,6,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,8,east_asian_female,east_asian_female__high_ses__mid_traditional__linear_no_gap,3,4,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,8,white_female,white_female__high_ses__mid_traditional__linear_no_gap,4,3,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,8,arab_muslim_female,arab_muslim_female__high_ses__mid_traditional__linear_no_gap,5,10,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,8,white_male,white_male__high_ses__mid_traditional__linear_no_gap,6,1,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,8,south_asian_male,south_asian_male__high_ses__mid_traditional__linear_no_gap,7,5,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,8,black_female,black_female__high_ses__mid_traditional__linear_no_gap,8,8,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,8,arab_muslim_male,arab_muslim_male__high_ses__mid_traditional__linear_no_gap,9,9,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,9,white_female,white_female__high_ses__mid_traditional__linear_no_gap,0,3,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,9,black_female,black_female__high_ses__mid_traditional__linear_no_gap,1,8,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,9,east_asian_male,east_asian_male__high_ses__mid_traditional__linear_no_gap,2,4,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,9,south_asian_female,south_asian_female__high_ses__mid_traditional__linear_no_gap,3,6,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,9,black_male,black_male__high_ses__mid_traditional__linear_no_gap,4,5,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,9,east_asian_female,east_asian_female__high_ses__mid_traditional__linear_no_gap,5,2,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,9,south_asian_male,south_asian_male__high_ses__mid_traditional__linear_no_gap,6,7,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,9,white_male,white_male__high_ses__mid_traditional__linear_no_gap,7,1,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,9,arab_muslim_male,arab_muslim_male__high_ses__mid_traditional__linear_no_gap,8,9,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,9,arab_muslim_female,arab_muslim_female__high_ses__mid_traditional__linear_no_gap,9,10,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,10,east_asian_male,east_asian_male__high_ses__mid_traditional__linear_no_gap,0,2,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,10,black_male,black_male__high_ses__mid_traditional__linear_no_gap,1,4,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,10,arab_muslim_male,arab_muslim_male__high_ses__mid_traditional__linear_no_gap,2,9,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,10,white_female,white_female__high_ses__mid_traditional__linear_no_gap,3,3,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,10,arab_muslim_female,arab_muslim_female__high_ses__mid_traditional__linear_no_gap,4,10,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,10,black_female,black_female__high_ses__mid_traditional__linear_no_gap,5,7,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,10,white_male,white_male__high_ses__mid_traditional__linear_no_gap,6,1,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,10,south_asian_male,south_asian_male__high_ses__mid_traditional__linear_no_gap,7,8,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,10,south_asian_female,south_asian_female__high_ses__mid_traditional__linear_no_gap,8,5,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,10,east_asian_female,east_asian_female__high_ses__mid_traditional__linear_no_gap,9,6,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,11,east_asian_male,east_asian_male__high_ses__mid_traditional__linear_no_gap,0,5,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,11,white_male,white_male__high_ses__mid_traditional__linear_no_gap,1,1,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,11,south_asian_male,south_asian_male__high_ses__mid_traditional__linear_no_gap,2,4,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,11,arab_muslim_female,arab_muslim_female__high_ses__mid_traditional__linear_no_gap,3,10,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,11,south_asian_female,south_asian_female__high_ses__mid_traditional__linear_no_gap,4,7,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,11,east_asian_female,east_asian_female__high_ses__mid_traditional__linear_no_gap,5,3,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,11,black_male,black_male__high_ses__mid_traditional__linear_no_gap,6,9,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,11,black_female,black_female__high_ses__mid_traditional__linear_no_gap,7,6,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,11,arab_muslim_male,arab_muslim_male__high_ses__mid_traditional__linear_no_gap,8,8,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,11,white_female,white_female__high_ses__mid_traditional__linear_no_gap,9,2,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,12,white_female,white_female__high_ses__mid_traditional__linear_no_gap,0,2,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,12,black_male,black_male__high_ses__mid_traditional__linear_no_gap,1,7,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,12,east_asian_female,east_asian_female__high_ses__mid_traditional__linear_no_gap,2,4,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,12,black_female,black_female__high_ses__mid_traditional__linear_no_gap,3,6,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,12,white_male,white_male__high_ses__mid_traditional__linear_no_gap,4,1,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,12,arab_muslim_male,arab_muslim_male__high_ses__mid_traditional__linear_no_gap,5,9,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,12,south_asian_female,south_asian_female__high_ses__mid_traditional__linear_no_gap,6,5,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,12,south_asian_male,south_asian_male__high_ses__mid_traditional__linear_no_gap,7,8,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,12,east_asian_male,east_asian_male__high_ses__mid_traditional__linear_no_gap,8,3,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,12,arab_muslim_female,arab_muslim_female__high_ses__mid_traditional__linear_no_gap,9,10,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,13,south_asian_male,south_asian_male__high_ses__mid_traditional__linear_no_gap,0,3,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,13,white_male,white_male__high_ses__mid_traditional__linear_no_gap,1,1,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,13,arab_muslim_male,arab_muslim_male__high_ses__mid_traditional__linear_no_gap,2,8,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,13,white_female,white_female__high_ses__mid_traditional__linear_no_gap,3,2,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,13,black_male,black_male__high_ses__mid_traditional__linear_no_gap,4,7,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,13,black_female,black_female__high_ses__mid_traditional__linear_no_gap,5,10,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,13,arab_muslim_female,arab_muslim_female__high_ses__mid_traditional__linear_no_gap,6,9,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,13,east_asian_male,east_asian_male__high_ses__mid_traditional__linear_no_gap,7,5,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,13,east_asian_female,east_asian_female__high_ses__mid_traditional__linear_no_gap,8,4,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,13,south_asian_female,south_asian_female__high_ses__mid_traditional__linear_no_gap,9,6,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,14,white_male,white_male__high_ses__mid_traditional__linear_no_gap,0,1,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,14,south_asian_female,south_asian_female__high_ses__mid_traditional__linear_no_gap,1,6,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,14,arab_muslim_female,arab_muslim_female__high_ses__mid_traditional__linear_no_gap,2,10,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,14,black_male,black_male__high_ses__mid_traditional__linear_no_gap,3,5,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,14,east_asian_male,east_asian_male__high_ses__mid_traditional__linear_no_gap,4,3,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,14,south_asian_male,south_asian_male__high_ses__mid_traditional__linear_no_gap,5,7,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,14,black_female,black_female__high_ses__mid_traditional__linear_no_gap,6,8,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,14,arab_muslim_male,arab_muslim_male__high_ses__mid_traditional__linear_no_gap,7,9,10,5,0,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,14,white_female,white_female__high_ses__mid_traditional__linear_no_gap,8,2,10,5,1,1
name,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,14,east_asian_female,east_asian_female__high_ses__mid_traditional__linear_no_gap,9,4,10,5,1,1
address,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,0,high_ses,white_male__high_ses__mid_traditional__linear_no_gap,0,1,6,3,1,1
address,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,0,low_ses,white_male__low_ses__mid_traditional__linear_no_gap,1,5,6,3,0,1
address,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,0,low_ses,white_male__low_ses__mid_traditional__linear_no_gap,2,4,6,3,0,1
address,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,0,high_ses,white_male__high_ses__mid_traditional__linear_no_gap,3,2,6,3,1,1
address,D:nomic-embed-text:v1.5,D_llm_rank_mock_nomic-embed-text:v1.5,0,low_ses,white_male__low_ses__mid_traditional__linear_no_gap,4,6,6,3,0,1
